Usuario_Id,Edad,Genero
2217,28,M
16010,27,M
14611,29,M
21772,29,M
20766,17,M
12447,57,M
17537,34,M
4141,43,F
7601,34,F
21621,27,F
14545,42,M
17572,66,F
4265,34,F
4273,36,M
20736,34,M
20730,33,F
22066,30,F
11025,31,M
11047,39,F
2233,29,M
17743,48,M
2131,36,M
6754,44,M
1227,19,M
17306,27,F
17630,29,M
22044,53,M
12001,47,F
16613,47,M
716,41,M
14721,32,M
22006,28,M
10247,55,M
17011,49,M
3512,25,M
7725,43,M
22047,25,F
2665,24,F
21150,33,M
11110,28,M
3242,23,F
1067,31,F
22234,29,M
11360,53,F
21236,18,F
1546,23,M
14322,30,M
17264,19,M
22231,43,M
11416,29,M
3757,43,F
4766,40,M
7210,66,M
22135,34,M
3317,35,F
2456,39,M
21750,29,M
12474,26,F
2051,29,M
6264,34,M
1166,29,F
11041,23,M
21707,38,M
11504,29,M
11721,35,M
3462,37,M
14333,45,M
22264,25,M
21005,24,M
21737,25,F
7045,28,M
10013,26,F
3443,27,F
13010,29,M
5131,43,M
22041,26,M
22314,39,M
15642,31,M
740,33,M
22253,45,M
4741,31,F
21616,28,F
11234,24,M
21211,30,F
14306,30,M
6237,39,M
22030,24,M
22173,32,F
15620,44,F
10370,29,M
10423,21,M
20565,52,F
22347,64,M
22355,46,M
22352,38,M
6121,68,M
22306,38,M
3226,34,M
3333,34,M
1064,38,F
16120,27,F
11727,51,M
15411,39,M
2167,32,M
22363,25,F
11523,24,F
22033,44,M
5271,26,M
16707,40,M
14173,39,F
4050,38,F
5167,31,M
4122,26,F
22443,42,F
14371,32,M
22341,29,F
7350,50,M
2200,29,M
575,29,F
14066,67,M
22432,25,F
7075,33,M
1604,25,F
12540,31,M
2225,25,F
21302,54,M
14542,32,F
10646,51,M
22036,40,M
22322,22,M
11617,35,M
21506,43,M
7361,32,M
11743,68,M
3501,25,F
4601,31,M
22146,43,M
6330,40,M
3036,55,M
11245,29,M
21574,42,M
14311,49,M
13362,33,M
22451,32,M
22336,33,M
6435,48,M
1540,28,M
7315,25,M
4221,22,M
21745,25,F
1174,25,F
22534,54,M
22531,25,M
21676,21,M
17207,65,M
21464,26,M
3770,28,M
22311,33,M
4477,35,M
22256,28,M
3256,37,F
22003,26,M
1744,37,F
12034,61,M
4213,24,M
15477,41,M
22564,50,M
22567,36,M
12460,44,F
22440,35,M
22360,32,M
10150,25,M
7607,24,M
12535,27,F
20430,33,M
7072,49,M
14531,46,M
3410,24,M
3041,26,M
11146,50,F
14325,34,M
13346,43,M
21651,25,M
15747,34,M
20664,46,F
22550,23,M
5376,53,M
16217,22,F
705,28,M
22267,43,M
22520,56,M
15540,21,M
567,30,F
22470,53,M
22542,28,M
341,28,F
22630,40,M
22625,30,F
17443,43,M
11603,33,M
15612,32,F
22644,30,M
22641,24,M
22622,30,M
4521,27,F
17006,29,M
22515,33,M
20406,29,M
22636,45,M
22556,24,M
22600,24,M
15177,22,M
325,41,M
6022,25,M
10467,29,M
2571,40,M
22674,46,M
5172,65,M
22721,45,M
22716,60,M
22713,18,F
22366,42,M
6371,46,M
21373,37,M
2206,21,M
22727,23,M
22710,19,M
22732,19,F
6165,32,M
22660,51,M
22526,32,M
22740,52,M
22743,44,M
15653,29,F
22647,26,M
20205,28,M
11451,48,M
7160,49,M
4736,30,F
22344,27,F
21624,32,M
16065,53,M
2712,26,M
1755,46,M
5640,27,M
11116,30,M
2514,30,F
3066,25,M
22614,25,M
22655,28,M
3176,21,M
22617,24,M
1422,19,M
5354,31,M
22063,45,F
10137,57,M
22735,43,M
22330,25,M
13225,36,M
23012,28,M
23007,35,M
2236,36,M
7763,25,M
2335,28,F
22746,37,M
264,24,M
11207,29,F
11105,43,M
13351,40,M
13750,63,M
20562,27,M
13340,20,M
7562,24,F
23015,39,F
22773,59,M
13464,39,M
23067,47,M
13530,29,F
2610,26,M
15403,22,F
12031,25,M
4471,28,M
5566,22,M
11017,26,M
2357,26,M
3162,28,M
10260,52,F
22776,21,F
5260,57,M
20414,41,F
14776,50,M
12273,44,M
20532,34,F
1020,34,M
311,25,M
22575,33,M
23001,26,M
11746,26,M
10437,30,M
5775,31,M
6014,28,F
5005,42,M
7254,50,M
17105,37,F
22652,24,M
13616,42,M
12155,28,M
3030,38,M
2654,25,F
7356,31,M
23072,22,M
23020,23,M
14237,38,M
4612,25,M
23210,32,M
17713,19,F
21313,30,M
7240,42,M
17352,38,F
1111,33,F
4075,22,F
22751,74,M
13646,20,M
16404,20,F
11671,33,M
22633,30,M
23276,33,M
23301,33,F
17127,44,M
23232,24,M
23221,19,M
23315,20,M
14352,22,F
2260,23,F
13544,26,M
14630,28,M
14600,28,F
14550,19,F
12631,32,M
10657,21,M
23326,29,F
23323,17,M
13167,30,M
22476,24,F
12114,20,M
4551,29,M
23243,53,M
23334,29,F
14223,25,M
10070,51,M
10514,29,M
23367,24,F
17074,26,F
7433,18,M
13120,23,F
4166,35,M
5327,22,M
12202,35,F
5263,36,M
23400,43,M
23375,33,M
21742,45,M
1527,31,M
23406,28,F
2172,21,M
23414,56,M
2247,20,F
16236,41,M
23240,50,M
23312,22,M
2340,26,F
23026,46,M
7144,34,F
23425,21,M
10547,32,M
21203,21,M
23430,50,M
4361,49,M
11572,26,M
12620,29,M
23364,42,M
17363,43,M
13211,31,F
23444,40,M
2437,20,F
16761,44,M
11341,24,F
23411,17,M
12653,38,M
1122,25,F
11223,37,M
23331,25,F
